CODIGO,DESCRIPCI‡N,PRECIO UNITARIO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA ENERO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI ENERO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH ENERO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    ENERO 2025,MONTO DE EXISTENCIAS ENERO EN B/.,CANTIDAD EXISTENCIA ALMACêN CDPA FEBRERO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI FEBRERO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH FEBRERO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    FEBRERO 2025,MONTO DE EXISTENCIAS FEBRERO EN B/.,CANTIDAD EXISTENCIA ALMACêN CDPA MARZO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI MARZO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH MARZO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    MARZO 2025,MONTO DE EXISTENCIAS MARZO EN B/.,CANTIDAD EXISTENCIA ALMACêN CDPA JULIO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI JULIO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH JULIO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    JULIO 2025,MONTO DE EXISTENCIAS EN JULIO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA AGOSTO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI AGOSTO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH AGOSTO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    AGOSTO 2025,MONTO DE EXISTENCIAS EN AGOSTO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA SEPTIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI SEPTIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH SEPTIEMBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    SEPTIEMBRE 2025,MONTO DE EXISTENCIAS EN SEPTIEMBRE B/.,CANTIDAD EXISTENCIA ALMACêN CDPA OCTUBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI OCTUBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH OCTUBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    OCTUBRE 2025,MONTO DE EXISTENCIAS EN OCTUBRE B/.,CANTIDAD EXISTENCIA ALMACêN CDPA NOVIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI NOVIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH NOVIEMBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    NOVIEMBRE 2025,MONTO DE EXISTENCIAS EN NOVIEMBRE B/.,CANTIDAD EXISTENCIA ALMACêN CDPA DICIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI DICIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH DICIEMBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES DICIEMBRE 2025,MONTO DE EXISTENCIAS EN DICIEMBRE 2025 B/.
101000201,"ROSUVASTATINA 10mg, c†psula o tableta, V.O.",0.30 ,0 ,0 ,0 ,0 ,0.00 ,"807,800",0,0,"807,800 ","242,340.00","91,100",0,0,"91,100 ","27,330.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101000301,"Darunavir/ Cobicistat, 800mg /150mg tableta, V.O.",7.71 ,"9,990 ",480 ,0 ,"10,470 ",80723.70 ,0,0,0,0 ,0.00,0,0,0,0 ,0.00 ,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101000801,"GLIBENCLAMIDA, 5MG, TABLETA, V.O.",0.03 ,"4,479,000 ","308,000 ","285,000 ","5,072,000 ",152160.00 ,"4,720,000",238000,195000,"5,153,000 ","154,590.00","4,636,000",200000,161000,"4,997,000 ","149,910.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101001101,"PARACETAMOL (ACETAMINOFêN), 500MG, TABLETA, V.O.",0.03 ,"3,558,600 ",0 ,"59,000 ","3,617,600 ",108528.00 ,"2,146,600",0,90000,"2,236,600 ","67,098.00","1,496,800",0,0,"1,496,800 ","44,904.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101001601,"LEUCOVORINA CµLCICA (ACIDO FOL÷NICO), 15MG, TABLETA, V.O.",0.00 ,"2,431 ",0 ,0 ,"2,431 ",0.00 ,"2,431",0,0,"2,431 ",0.00,"2,431",0,0,"2,431 ",0.00 ,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101001801,"FINASTERIDA, 5 MG, TABLETA, V.O.",0.05 ,"30,300 ",0 ,"2,670 ","32,970 ",1549.59 ,0,0,0,0 ,0.00,0,0,0,0 ,0.00 ,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101002001,"HIDRALAZINA CLORHIDRATO 50mg, tableta, V.O.",0.12 ,"59,260 ","7,640 ",640 ,"67,540 ",8104.80 ,"2,320",3000,0,"5,320 ",638.40,"113,920",10480,1200,"125,600 ","15,072.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101002101,"BLOQUEADORES DE LOS RECEPTORES ALFA 1 ADRENêRGICOS: TERAZOSINA, 2MG O DOXAZOSINA, 2MG, CµPSULA O TABLETA, V.O.",0.04 ,"161,420 ",0 ,0 ,"161,420 ",6456.80 ,0,36568,637168,"673,736 ","26,949.44","60,872",22652,325668,"409,192 ","16,367.68 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101002301,"HIDROXICINA, 25MG, CµPSULA O TABLETA, V.O.",0.10 ,0 ,0 ,0 ,0 ,0.00 ,0,0,0,0 ,0.00,0,0,0,0 ,0.00 ,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101002401,"ALFACALCIDOL, 1MCG, CµPSULA, V.O.",0.65 ,"134,130 ",0 ,"6,120 ","140,250 ",91162.50 ,"76,020",62820,16320,"155,160 ","100,854.00","58,920",47580,13320,"119,820 ","77,883.00 ",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
