CODIGO,DESCRIPCI‡N,PRECIO UNITARIO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA ABRIL 2025,CANTIDAD EXISTENCIA ALMACêN CDDI ABRIL 2025,CANTIDAD EXISTENCIA ALMACêN CDCH ABRIL 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    ABRIL 2025,MONTO DE EXISTENCIAS ABRIL EN B/.,CANTIDAD EXISTENCIA ALMACêN CDPA  MAYO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI MAYO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH MAYO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    MAYO 2025,MONTO DE EXISTENCIAS MAYO EN B/.,CANTIDAD EXISTENCIA ALMACêN CDPA JUNIO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI JUNIO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH JUNIO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    JUNIO 2025,MONTO DE EXISTENCIAS EN JUNIO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA JULIO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI JULIO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH JULIO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    JULIO 2025,MONTO DE EXISTENCIAS EN JULIO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA AGOSTO 2025,CANTIDAD EXISTENCIA ALMACêN CDDI AGOSTO 2025,CANTIDAD EXISTENCIA ALMACêN CDCH AGOSTO 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    AGOSTO 2025,MONTO DE EXISTENCIAS EN AGOSTO B/.,CANTIDAD EXISTENCIA ALMACêN CDPA SEPTIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI SEPTIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH SEPTIEMBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    SEPTIEMBRE 2025,MONTO DE EXISTENCIAS EN SEPTIEMBRE B/.,CANTIDAD EXISTENCIA ALMACêN CDPA OCTUBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI OCTUBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH OCTUBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    OCTUBRE 2025,MONTO DE EXISTENCIAS EN OCTUBRE B/.,CANTIDAD EXISTENCIA ALMACêN CDPA NOVIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI NOVIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH NOVIEMBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES    NOVIEMBRE 2025,MONTO DE EXISTENCIAS EN NOVIEMBRE B/.,CANTIDAD EXISTENCIA ALMACêN CDPA DICIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDDI DICIEMBRE 2025,CANTIDAD EXISTENCIA ALMACêN CDCH DICIEMBRE 2025,TOTAL DE EXISTENCIAS  DISPONIBLES DICIEMBRE 2025,MONTO DE EXISTENCIAS EN DICIEMBRE 2025 B/.
101000201,"ROSUVASTATINA 10mg, c†psula o tableta, V.O.",0.30 ,"7,200",0,0,"7,200 ","2,160.00 ",0,0,0,0,0.00,"219,700",0,0,"219,700","65,910.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101000301,"Darunavir/ Cobicistat, 800mg /150mg tableta, V.O.",7.71 ,0,0,0,0 ,0.00 ,0,0,0,0,0.00,0,0,0,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101000801,"GLIBENCLAMIDA, 5MG, TABLETA, V.O.",0.03 ,"4,173,000",137000,75000,"4,385,000 ","131,550.00 ","3,524,000","66,000","76,000","3,666,000","109,980.00","3,401,000",3000,75000,"3,479,000","104,370.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101001101,"PARACETAMOL (ACETAMINOFêN), 500MG, TABLETA, V.O.",0.03 ,"13,800",20000,291000,"324,800 ","9,744.00 ","2,500",0,0,"2,500",75.00,"2,500",0,0,"2,500",75.00,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101001601,"LEUCOVORINA CµLCICA (ACIDO FOL÷NICO), 15MG, TABLETA, V.O.",0.00 ,"2,431",0,0,"2,431 ",0.00 ,"2,431",0,0,"2,431",0.00,"2,431",0,0,"2,431",0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101001801,"FINASTERIDA, 5 MG, TABLETA, V.O.",0.05 ,"120,090",0,0,"120,090 ","5,644.23 ",990,0,0,990,46.53,990,0,0,990,46.53,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101002001,"HIDRALAZINA CLORHIDRATO 50mg, tableta, V.O.",0.12 ,"111,500",19900,0,"131,400 ","15,768.00 ",0,"8,320",0,"8,320",998.40,0,0,0,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101002101,"BLOQUEADORES DE LOS RECEPTORES ALFA 1 ADRENêRGICOS: TERAZOSINA, 2MG O DOXAZOSINA, 2MG, CµPSULA O TABLETA, V.O.",0.04 ,"966,840",196840,45108,"1,208,788 ","48,351.52 ","39,396",0,"29,680","69,076","2,763.04",0,0,0,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101002301,"HIDROXICINA, 25MG, CµPSULA O TABLETA, V.O.",0.10 ,"199,980",0,0,"199,980 ","19,798.02 ","5,820","73,800",0,"79,620","7,882.38","5,820",260620,0,"266,440","26,377.56",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101002401,"ALFACALCIDOL, 1MCG, CµPSULA, V.O.",0.65 ,"50,220",43380,13320,"106,920 ","69,498.00 ","32,400","30,900","10,830","74,130","48,184.50","27,600",21720,9630,"58,950","38,317.50",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101002601,"ESCOPOLAMINA BUTILBROMURO (HIOSCINA), 10MG, TABLETA, V.O.",0.05 ,"673,900",390100,204900,"1,268,900 ","59,638.30 ","446,900","288,200","96,900","832,000","39,104.00","399,900",250300,94900,"745,100","35,019.70",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101003101,"DIFENHIDRAMINA, 25MG, CµPSULA, V.O.",0.07 ,"210,000",132000,58000,"400,000 ","28,000.00 ","146,000","115,000","33,000","294,000","20,580.00","145,000",104000,32000,"281,000","19,670.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101003901,"FORMOTEROL FUMARATO (EFORMOTEROL), 9-12MCG/INHALACI‡N, POLVO SECO, INHALADOR CON APLICADOR CON 30-60 DOSIS, V÷A BUCAL.",5.37 ,652,3008,2261,"5,921 ","31,795.77 ",0,"2,658","1,319","3,977","21,356.49",0,2248,1199,"3,447","18,510.39",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101004401,"ZIDOVUDINA 100mg, c†psula, V.O.",0.66 ,,,,0 ,0.00 ,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101004501,"CALCIO CARBONATO, 500 MG-1,000MG DE CALCIO ELEMENTAL, TABLETA, V.O.",0.03 ,"193,000",126400,58000,"377,400 ","9,435.00 ","115,700","111,800","28,500","256,000","6,400.00","107,000",91200,28500,"226,700","5,667.50",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101005101,"MODULADOR HEMORREOL‡GICO TIPO PENTOXIFILINA, 400MG, TABLETA DE LIBERACI‡N MODIFICADA, V.O.",0.12 ,0,0,0,0 ,0.00 ,0,0,0,0,0.00,0,0,0,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101007801,"ACETAZOLAMIDA, 250MG, TABLETA, V.O.",0.13 ,0,0,0,0 ,0.00 ,0,0,0,0,0.00,0,0,0,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101008501,"DIGOXINA 0.25mg, tableta, V.O.",0.27 ,"75,550",0,22000,"97,550 ","26,338.50 ","40,350",0,"23,200","63,550","17,158.50","29,250",0,22200,"51,450","13,891.50",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101008601,"FENITOINA SODICA 100mg, capsula o tableta, de liberacion modificada, V.O.",0.07 ,"24,600",0,124100,"148,700 ","10,706.40 ","790,400","166,000","282,200","1,238,600","89,179.20","755,100",93800,272600,"1,121,500","80,748.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101008801,"CLORFENIRAMINA  MALEATO,  4MG, TABLETA, V.O.",0.05 ,"1,208,900",383780,429400,"2,022,080 ","97,059.84 ","1,105,400","332,620","396,400","1,834,420","88,052.16","1,095,400",307620,395400,"1,798,420","86,324.16",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101009501,"DIMENHIDRINATO, 50MG, TABLETA, V.O.",0.01 ,"17,000",439000,0,"456,000 ","6,384.00 ","8,000","354,000",0,"362,000","5,068.00","8,000",303000,275000,"586,000","8,204.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101010101,"CIPROFLOXACINA, 500MG, CµPSULA O TABLETA, V.O.",0.06 ,"18,300",0,235402,"253,702 ","14,714.72 ","858,720","205,142","186,402","1,250,264","72,515.31","764,920",173250,181602,"1,119,772","64,946.78",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101010601,"ISOSORBIDE DINITRATO, 5MG, TABLETA, V÷A SUBLINGUAL",0.39 ,"17,900",3900,5700,"27,500 ","10,725.00 ","8,600","3,300","3,600","15,500","6,045.00","7,800",3100,4000,"14,900","5,811.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101010801,"ISOSORBIDE DINITRATO, 10MG, TABLETA, V.O.",0.03 ,"15,480",167160,200820,"383,460 ","11,887.26 ",0,"123,900","132,660","256,560","7,953.36",0,90480,108060,"198,540","6,154.74",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101011401,"ESTR‡GENOS CONJUGADOS NATURALES DE ORIGEN EQUINO, 0.625-1MG, TABLETA, V.O.",0.10 ,10,26124,644,"26,778 ","2,624.24 ",10,"24,808",0,"24,818","2,432.16",10,24584,0,"24,594","2,410.21",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101012201,"FENOBARBITAL 32mg, tableta, V.O.",0.30 ,"19,165",22000,2000,"43,165 ","12,949.50 ","18,165","22,000","2,000","42,165","12,649.50","18,165",22000,2000,"42,165","12,649.50",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101012301,"FENOBARBITAL 64mg, tableta, V.O.",0.54 ,"298,000",300000,91000,"689,000 ","372,060.00 ","198,000","237,000","33,000","468,000","252,720.00","126,000",216000,33000,"375,000","202,500.00",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
101012901,"METRONIDAZOL, 500MG, TABLETA RANURADA, V.O.",0.08 ,"75,611",77400,158700,"311,711 ","24,001.75 ","214,211","42,900","84,600","341,711","26,311.75","203,111",22200,83100,"308,411","23,747.65",,,,0,0.00,,,,0,0.00,,,,0,0.00,,,,0,0.00 ,,,,0,0.00 ,,,,0,0.00 
